image,num_plastics,avg_size,avg_aspect_ratio
282-c_png_jpg.rf.d97bb0b33c89c0db09e6a949b01975dc_flip_h.jpg,8,1965.4348,1.4441898
282-c_png_jpg.rf.d97bb0b33c89c0db09e6a949b01975dc_flip_v.jpg,8,1973.8938,1.4483631
282-c_png_jpg.rf.d97bb0b33c89c0db09e6a949b01975dc_gaussian.jpg,8,1939.7902,1.4331722
282-c_png_jpg.rf.d97bb0b33c89c0db09e6a949b01975dc_gaussian_flip.jpg,8,1981.8279,1.4414761
183-b_png_jpg.rf.5bf64643bff61f92798de617a4fe0f68.jpg,12,1402.8252,1.4748607
183-b_png_jpg.rf.5bf64643bff61f92798de617a4fe0f68_flip_h.jpg,11,1527.2206,1.4969257
183-b_png_jpg.rf.5bf64643bff61f92798de617a4fe0f68_flip_v.jpg,12,1472.2646,1.4697672
183-b_png_jpg.rf.5bf64643bff61f92798de617a4fe0f68_gaussian.jpg,8,2063.95,1.67553
183-b_png_jpg.rf.5bf64643bff61f92798de617a4fe0f68_gaussian_flip.jpg,9,1855.8872,1.5867063
346-c_png_jpg.rf.c4d14551bfda73abd7cf10e12f3d10c7.jpg,11,1647.8,1.960093
346-c_png_jpg.rf.c4d14551bfda73abd7cf10e12f3d10c7_flip_h.jpg,10,1725.1162,1.4711498
346-c_png_jpg.rf.c4d14551bfda73abd7cf10e12f3d10c7_flip_v.jpg,13,1538.4249,2.6449153
346-c_png_jpg.rf.c4d14551bfda73abd7cf10e12f3d10c7_gaussian.jpg,9,2012.0946,2.194718
346-c_png_jpg.rf.c4d14551bfda73abd7cf10e12f3d10c7_gaussian_flip.jpg,7,2442.4824,1.6333778
35_png_jpg.rf.7e22532284c358222b4e25fce3749f14.jpg,14,1440.933,1.2170191
35_png_jpg.rf.7e22532284c358222b4e25fce3749f14_flip_h.jpg,14,1605.7367,1.2615702
35_png_jpg.rf.7e22532284c358222b4e25fce3749f14_flip_v.jpg,14,1467.6365,1.2054558
35_png_jpg.rf.7e22532284c358222b4e25fce3749f14_gaussian.jpg,12,2079.7168,1.325308
35_png_jpg.rf.7e22532284c358222b4e25fce3749f14_gaussian_flip.jpg,12,2057.141,1.2849699
288-c_png_jpg.rf.241c9f5cfa3d866ede2597659e20643a.jpg,11,1583.1879,1.4158924
288-c_png_jpg.rf.241c9f5cfa3d866ede2597659e20643a_flip_h.jpg,11,1578.0802,1.4089406
288-c_png_jpg.rf.241c9f5cfa3d866ede2597659e20643a_flip_v.jpg,11,1580.2125,1.4066081
288-c_png_jpg.rf.241c9f5cfa3d866ede2597659e20643a_gaussian.jpg,10,1690.9365,1.4409821
288-c_png_jpg.rf.241c9f5cfa3d866ede2597659e20643a_gaussian_flip.jpg,11,1628.8716,1.4106517
268-c_png_jpg.rf.038f1d0c9158e23669bc29ba36fea819.jpg,11,1422.9398,1.2407368
268-c_png_jpg.rf.038f1d0c9158e23669bc29ba36fea819_flip_h.jpg,11,1423.6356,1.2493604
268-c_png_jpg.rf.038f1d0c9158e23669bc29ba36fea819_flip_v.jpg,11,1425.5724,1.2320275
268-c_png_jpg.rf.038f1d0c9158e23669bc29ba36fea819_gaussian.jpg,8,1895.7529,1.283696
268-c_png_jpg.rf.038f1d0c9158e23669bc29ba36fea819_gaussian_flip.jpg,8,1886.5142,1.2783835
269-c_png_jpg.rf.51daa8a5f204ebf4e9c689aa217a7023.jpg,13,1322.1361,1.2163033
269-c_png_jpg.rf.51daa8a5f204ebf4e9c689aa217a7023_flip_h.jpg,13,1324.849,1.2262989
269-c_png_jpg.rf.51daa8a5f204ebf4e9c689aa217a7023_flip_v.jpg,13,1327.367,1.2136464
269-c_png_jpg.rf.51daa8a5f204ebf4e9c689aa217a7023_gaussian.jpg,13,1323.9459,1.2248206
269-c_png_jpg.rf.51daa8a5f204ebf4e9c689aa217a7023_gaussian_flip.jpg,10,1733.9528,1.2899616
248-b_png_jpg.rf.5ad143de2677ba93b9fcb37ad36ec8d9.jpg,18,1351.4059,1.7480963
