epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,436.139,3.33373,4.88545,2.20346,0.89384,0.16115,0.60492,0.34341,2.80208,4.80563,2.01695,0.000412809,0.000412809,0.000412809
2,484.541,2.94156,2.80663,2.02608,0.78959,0.73402,0.82168,0.47211,2.79927,1.96219,2.0506,0.000813052,0.000813052,0.000813052
3,532.471,2.80595,2.31429,1.98385,0.82241,0.79518,0.84846,0.50557,2.72759,1.62666,2.05359,0.00119679,0.00119679,0.00119679
4,579.358,2.80278,2.10598,1.98665,0.90898,0.70126,0.84789,0.51554,2.68117,1.61642,2.02817,0.00117575,0.00117575,0.00117575
5,626.544,2.72601,1.89069,1.95218,0.84967,0.76302,0.84749,0.50425,2.62817,1.58213,2.04367,0.001151,0.001151,0.001151
6,673.878,2.63701,1.69862,1.91992,0.8705,0.75596,0.85515,0.50226,2.71355,1.53302,2.05819,0.00112625,0.00112625,0.00112625
7,720.644,2.62249,1.6019,1.92059,0.86458,0.82853,0.88692,0.53765,2.55059,1.4203,1.98498,0.0011015,0.0011015,0.0011015
8,767.784,2.55636,1.49977,1.90286,0.8707,0.85909,0.8747,0.53618,2.48694,1.3122,1.9762,0.00107675,0.00107675,0.00107675
9,816.127,2.54011,1.44359,1.90122,0.84475,0.86545,0.90842,0.57455,2.40062,1.20837,1.94824,0.001052,0.001052,0.001052
10,862.968,2.5181,1.39793,1.8914,0.89675,0.85809,0.90623,0.56132,2.47883,1.21035,1.94625,0.00102725,0.00102725,0.00102725
11,910.106,2.49491,1.37496,1.89189,0.93408,0.88296,0.92452,0.5931,2.33537,1.15815,1.92078,0.0010025,0.0010025,0.0010025
12,957.945,2.46508,1.30845,1.8829,0.93301,0.846,0.91155,0.58279,2.42523,1.18166,1.95618,0.00097775,0.00097775,0.00097775
13,1004.69,2.46704,1.30198,1.88198,0.92219,0.83275,0.91427,0.57686,2.43832,1.16321,1.95715,0.000953,0.000953,0.000953
14,1051.05,2.43852,1.24715,1.86879,0.91087,0.85874,0.92205,0.59303,2.34245,1.09307,1.9213,0.00092825,0.00092825,0.00092825
15,1098.5,2.42811,1.21653,1.86983,0.89283,0.89134,0.92693,0.58146,2.42584,1.13256,1.94989,0.0009035,0.0009035,0.0009035
16,1144.81,2.39839,1.19897,1.85636,0.95529,0.88047,0.9355,0.60138,2.28074,1.04313,1.90457,0.00087875,0.00087875,0.00087875
17,1191.56,2.36013,1.16093,1.84581,0.92476,0.88372,0.93331,0.60305,2.29644,1.02018,1.91706,0.000854,0.000854,0.000854
18,1239.07,2.35554,1.14966,1.8507,0.94539,0.88769,0.93418,0.61145,2.31668,0.99438,1.90974,0.00082925,0.00082925,0.00082925
19,1285.33,2.35435,1.13823,1.84198,0.93315,0.9165,0.93873,0.59858,2.33489,1.03394,1.91382,0.0008045,0.0008045,0.0008045
20,1332.41,2.33765,1.12037,1.85003,0.93176,0.8846,0.93177,0.6045,2.29851,1.01855,1.90714,0.00077975,0.00077975,0.00077975
21,1379.3,2.33128,1.1066,1.83904,0.88586,0.88031,0.92641,0.59718,2.30152,1.03108,1.9059,0.000755,0.000755,0.000755
22,1425.4,2.35262,1.08777,1.8418,0.95285,0.91297,0.94105,0.60641,2.32235,0.9932,1.91707,0.00073025,0.00073025,0.00073025
23,1472.74,2.30541,1.06493,1.83714,0.95222,0.89808,0.94376,0.61368,2.24103,0.97656,1.89232,0.0007055,0.0007055,0.0007055
24,1519.21,2.27917,1.05562,1.8313,0.95702,0.89808,0.94648,0.61782,2.28424,0.94617,1.89386,0.00068075,0.00068075,0.00068075
25,1564.9,2.27635,1.0622,1.83208,0.95488,0.89702,0.93845,0.59984,2.30049,0.95844,1.90424,0.000656,0.000656,0.000656
26,1613.09,2.28241,1.04958,1.82806,0.91891,0.90592,0.94096,0.61151,2.28029,0.95582,1.90422,0.00063125,0.00063125,0.00063125
